Local time,Open,High,Low,Close,Volume
01.01.2024 00:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 01:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 02:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 03:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 04:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 05:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 06:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 07:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 08:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 09:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 10:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 11:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 12:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 13:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 14:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 15:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 16:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 17:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 18:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 19:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 20:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 21:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 22:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
01.01.2024 23:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 00:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 01:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 02:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 03:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 04:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 05:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 06:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 07:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 08:00:00.000 GMT+0100,696.985,696.985,696.985,696.985,0
02.01.2024 09:00:00.000 GMT+0100,699.872,700.074,693.071,695.677,1627.83
02.01.2024 10:00:00.000 GMT+0100,695.676,698.282,695.191,697.772,1189.84
02.01.2024 11:00:00.000 GMT+0100,697.775,698.092,695.171,695.373,871.21
02.01.2024 12:00:00.000 GMT+0100,695.299,695.593,691.892,693.389,967.82
02.01.2024 13:00:00.000 GMT+0100,693.379,693.889,690.282,690.383,905.13
02.01.2024 14:00:00.000 GMT+0100,690.376,691.490,688.682,689.992,1107.93
